Region Code,Local Authority,Pupils whose first language is English(8),Pupils whose first language is other than English(9),All pupils(10),Pupils known to be eligible for free school meals,All other pupils(8),All pupils,Disadvantaged pupils(1),All other pupils(9),All pupils,Pupils with no identified SEN,SEN support,SEN with a statement or EHC plan,All pupils(9),Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil3,Percentage of pupils entered for components,Percentage of pupils who achieved a strong 9-5 pass5,Percentage of pupils who achieved a standard 9-4 pass 5,Overall absence,Percentage of persistent absentees
E08000033,Calderdale,2157,318,2475,299,2176,2475,631,1844,2475,2071,349,55,2475,2475,48.2,98.4,45.1,65.6,4.1,8.8
E08000017,Doncaster,2790,206,2996,409,2587,2996,907,2089,2996,2639,256,101,2996,2996,43.6,96.6,38.6,58.4,5.3,13.8
E06000011,East Riding of Yorkshire,3298,70,3370,329,3041,3370,599,2771,3370,3002,278,88,3370,3370,47.2,98.5,44.9,67.2,4.2,9.1
E06000010,"Kingston Upon Hull, City of",1964,225,2253,535,1718,2253,949,1304,2253,1774,294,121,2253,2253,42.6,96.8,30,50.6,4.7,11.9
E08000034,Kirklees,3348,1032,4383,862,3521,4383,1169,3214,4383,3882,345,155,4383,4383,45.3,97.3,41.4,62.6,4.5,10.3
E08000035,Leeds,6164,1112,7427,1143,6284,7427,2416,5011,7427,6357,737,186,7427,7427,45.1,96.4,39.3,60.5,4.7,11.3
E06000012,North East Lincolnshire,1425,62,1592,195,1397,1592,468,1124,1592,1348,98,41,1592,1592,43.8,97.9,35.7,59.3,4.6,11.3
E06000013,North Lincolnshire,1609,140,1749,213,1536,1749,469,1280,1749,1489,188,72,1749,1749,44.8,97.7,40.7,64.8,4.3,9.4
E10000023,North Yorkshire,5715,183,5904,370,5534,5904,913,4991,5904,5390,366,148,5904,5904,49.6,98,50.4,71.1,4.5,9.6
E08000018,Rotherham,2771,254,3028,452,2576,3028,953,2075,3028,2526,390,112,3028,3028,45,97,37.1,59,5.1,13
E08000019,Sheffield,4240,840,5090,1049,4041,5090,1643,3447,5090,4324,555,211,5090,5090,44.6,95.9,39.1,59.5,5,12.8
E08000036,Wakefield,3188,214,3402,406,2996,3402,871,2531,3402,2933,362,107,3402,3402,45.5,97.5,42.1,63.2,4.9,11.6
E06000014,York,1516,91,1608,99,1509,1608,277,1331,1608,1443,121,44,1608,1608,49.3,98.2,48.1,68.8,4.2,9.1
,,,,,,,,,,,,,,,,,,,,,
E12000004,East Midlands,40289,5156,45492,5149,40343,45492,10908,34584,45492,39579,4359,1540,45492,45492,45.4,97.3,41.7,63.1,4.5,10.3
E06000015,Derby,2197,530,2741,385,2356,2741,896,1845,2741,2259,369,112,2741,2741,42.6,96.4,37.4,58.3,4.9,12.8
E10000007,Derbyshire,7134,112,7249,791,6458,7249,1666,5583,7249,6322,677,246,7249,7249,45.6,98.3,42.3,64.9,4.3,9.3
E06000016,Leicester,1662,1647,3310,596,2714,3310,1140,2170,3310,2861,325,123,3310,3310,42.8,94.1,35.6,56.6,4.9,12
E10000018,Leicestershire,6455,404,6867,435,6432,6867,1116,5751,6867,6041,595,229,6867,6867,45.7,97.6,45,67,4.3,9.2
E10000019,Lincolnshire,6989,560,7549,759,6790,7549,1559,5990,7549,6278,961,310,7549,7549,46.4,97.3,42.4,63.8,4.6,10.8
E10000021,Northamptonshire,6453,826,7287,722,6565,7287,1625,5662,7287,6438,549,297,7287,7287,44.7,97.3,40.2,61.8,4.6,10.4
E06000018,Nottingham,1826,678,2505,582,1923,2505,1111,1394,2505,2143,299,62,2505,2505,40.3,x,31,50.6,4.8,11.6
E10000024,Nottinghamshire,7115,384,7511,858,6653,7511,1741,5770,7511,6832,525,152,7511,7511,47.8,97.9,45.5,65.9,4.4,9.9
E06000017,Rutland,458,15,473,21,452,473,54,419,473,405,59,9,473,473,52.2,x,57.7,81.4,3.2,5.1
,,,,,,,,,,,,,,,,,,,,,
E12000005,West Midlands,48886,9937,58919,9030,49889,58919,18143,40776,58919,49965,6664,2275,58919,58919,45.4,96.8,39.8,61.2,4.6,10.7
E08000025,Birmingham,7401,4678,12127,3163,8964,12127,5592,6535,12127,10218,1422,484,12127,12127,46.1,95.3,40.2,60.1,5,12.2
E08000026,Coventry,2433,939,3374,519,2855,3374,1049,2325,3374,2843,387,143,3374,3374,42.8,96.7,36.2,58.3,4.4,10.3
E08000027,Dudley,3195,289,3484,501,2983,3484,975,2509,3484,2913,460,110,3484,3484,43.7,97.2,37.1,59.1,4.7,11.3
E06000019,"Herefordshire, County of",1614,103,1718,121,1597,1718,309,1409,1718,1411,264,42,1718,1718,45.7,97.8,44.4,65.1,4.3,9.4
E08000028,Sandwell,2605,958,3564,765,2799,3564,1580,1984,3564,2983,477,104,3564,3564,42.4,97.7,28.7,52.2,4.7,10.9
E06000051,Shropshire,2691,76,2777,209,2568,2777,520,2257,2777,2481,182,114,2777,2777,46.4,98.5,42.3,66.8,4.2,8.8
E08000029,Solihull,2693,208,2917,330,2587,2917,697,2220,2917,2485,325,106,2917,2917,47.1,97.8,45.8,65.6,4.7,10.8
E10000028,Staffordshire,8039,371,8414,728,7686,8414,1754,6660,8414,7347,748,315,8414,8414,44.9,96.9,39.3,61.9,4.3,9.1
E06000021,Stoke-on-Trent,1780,418,2198,371,1827,2198,782,1416,2198,1931,165,102,2198,2198,43.3,97.5,31.8,53.3,4.9,12.4
E06000020,Telford and Wrekin,1676,157,1835,263,1572,1835,523,1312,1835,1462,272,100,1835,1835,46.4,96.5,41.5,62.5,4.5,10.6
E08000030,Walsall,2608,558,3169,653,2516,3169,1211,1958,3169,2728,314,127,3169,3169,43.2,96,34.3,54.6,4.8,11.6
E10000031,Warwickshire,5124,362,5489,428,5061,5489,1034,4455,5489,4616,650,221,5489,5489,49,97.8,48.1,69.5,4.3,9.2
E08000031,Wolverhampton,1951,548,2505,486,2019,2505,1022,1483,2505,2002,399,103,2505,2505,45,96,35.6,58,4.6,11.3
E10000034,Worcestershire,5076,272,5348,493,4855,5348,1095,4253,5348,4545,599,204,5348,5348,46.4,97.4,44.1,65.5,4.4,9.7
,,,,,,,,,,,,,,,,,,,,,
E12000006,East ,53678,6380,60153,5645,54508,60153,12986,47167,60153,51697,6053,2364,60153,60153,46.7,97.2,43.7,65.5,4.5,9.9
E06000055,Bedford,1436,389,1827,173,1654,1827,410,1417,1827,1601,163,62,1827,1827,45.9,98,37.9,62.2,4.5,9.9
E10000003,Cambridgeshire,5093,498,5635,489,5146,5635,1056,4579,5635,4790,547,266,5635,5635,47.7,96.9,46.7,67,4.4,9.2
E06000056,Central Bedfordshire,2488,102,2591,176,2415,2591,416,2175,2591,2192,302,97,2591,2591,45.5,97.3,42.5,66.8,4.6,10.1
E10000012,Essex,13612,757,14378,1282,13096,14378,3126,11252,14378,12545,1255,577,14378,14378,46.7,97.3,42.8,65.3,4.3,9.4
E10000015,Hertfordshire,11382,1328,12734,882,11852,12734,2198,10536,12734,10673,1661,398,12734,12734,49.7,97.1,50.9,71.8,4.4,9.5
E06000032,Luton,1219,1213,2433,392,2041,2433,818,1615,2433,2090,279,63,2433,2433,43.5,96.9,34.6,56.3,5.1,12.4
E10000020,Norfolk,7342,513,7864,881,6983,7864,1847,6017,7864,6703,800,360,7864,7864,45,97.5,39.8,62.8,4.8,11
